Date,month,year,Local Site Name,County,mean_latitude,mean_longitude,Ozone,PM 2.5
2024-01-09,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,38.5
2024-01-09,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,25.0
2024-01-09,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,36.0
2024-01-09,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,34.0,13.0
2024-01-09,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,22.0
2024-01-09,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,38.0
2024-01-09,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,27.0
2024-01-09,1,2024,Millbrook School,Wake,35.856111,-78.574167,,25.0
2024-01-09,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,27.0
2024-01-09,1,2024,Rockwell,Rowan,35.551868,-80.395039,34.0,16.0
2024-01-09,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,24.0
2024-01-10,1,2024,Bryson City,Swain,35.434767,-83.442133,,20.0
2024-01-10,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,28.5
2024-01-10,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,21.0
2024-01-10,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,44.0
2024-01-10,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,23.0,11.0
2024-01-10,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,19.0
2024-01-10,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,3.0
2024-01-10,1,2024,Linville Falls,Avery,35.972347,-81.933072,,6.0
2024-01-10,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,24.0
2024-01-10,1,2024,Millbrook School,Wake,35.856111,-78.574167,21.0,22.0
2024-01-10,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,2.0
2024-01-10,1,2024,Rockwell,Rowan,35.551868,-80.395039,,8.0
